[906],[1065]
[893],[1095]
[884],[1103]
[865],[1123]
[865],[1117]
[840],[1119]
[835],[1135]
[844],[1147]
[836],[1154]
[822],[1142]
[816],[1141]
[810],[1141]
[806],[1144]
[801],[1145]
[797],[1148]
[794],[1152]
[788],[1153]
[780],[1160]
[775],[1160]
[771],[1156]
[766],[1154]
[761],[1153]
[757],[1156]
[754],[1160]
[751],[1164]
[746],[1162]
[737],[1160]
[729],[1157]
[723],[1157]
[705],[1152]
[698],[1150]
[687],[1153]
[681],[1146]
[675],[1146]
[671],[1142]
[667],[1139]
[663],[1136]
[659],[1132]
[655],[1130]
[649],[1128]
[645],[1131]
[640],[1133]
[621],[1119]
[613],[1118]
[563],[1085]
[556],[1086]
[564],[1079]
[578],[1095]
[621],[1119]
[623],[1125]
[626],[1128]
[631],[1129]
[637],[1131]
[642],[1131]
[647],[1130]
[652],[1129]
[657],[1131]
[662],[1134]
[665],[1138]
[668],[1142]
[670],[1147]
[667],[1151]
[665],[1156]
[674],[1148]
[683],[1151]
[686],[1148]
[693],[1148]
[705],[1156]
[748],[1161]
[755],[1155]
[777],[1157]
[785],[1165]
[786],[1171]
[780],[1179]
[788],[1169]
[799],[1169]
[792],[1162]
[793],[1157]
[790],[1165]
[786],[1161]
[790],[1157]
[793],[1154]
[796],[1150]
[799],[1146]
[804],[1144]
[809],[1141]
[814],[1141]
[820],[1141]
[825],[1143]
[831],[1145]
[838],[1145]
[833],[1141]
[834],[1147]
[828],[1141]
[833],[1138]
[824],[1139]
[827],[1136]
[831],[1133]
[835],[1129]
[838],[1125]
[840],[1121]
[845],[1118]
[850],[1118]
[856],[1118]
[861],[1117]
[866],[1116]
[871],[1114]
[881],[1105]
[888],[1103]
[903],[1087]
[908],[1090]
[865],[1128]
[857],[1120]
[869],[1109]
[889],[1092]
[903],[1082]
[910],[1089]
[929],[1087]
[932],[1084]
[932],[1069]
[920],[1059]
[958],[1010]
[965],[1019]
[932],[1066]
[927],[1058]
[939],[1049]
[929],[1056]
[941],[1042]
[949],[1035]
[951],[1031]
[942],[1039]
[951],[1027]
[955],[1020]
[980],[1014]
[984],[1008]
[978],[992]
[969],[984]
[964],[984]
[956],[992]
[973],[978]
[966],[981]
[969],[972]
[966],[969]
[978],[976]
[973],[984]
[991],[969]
[992],[964]
[994],[959]
[993],[954]
[992],[948]
[989],[944]
[987],[939]
[983],[935]
[973],[926]
[976],[916]
[968],[916]
[967],[923]
[954],[938]
[967],[928]
[973],[928]
[976],[914]
[984],[905]
[976],[886]
[966],[880]
[973],[877]
[971],[847]
[966],[847]
[968],[875]
[958],[886]
[958],[880]
[961],[877]
[964],[873]
[963],[867]
[963],[861]
[963],[856]
[963],[850]
[964],[845]
[964],[840]
[964],[834]
[964],[829]
[964],[824]
[961],[819]
[960],[815]
[956],[811]
[953],[807]
[948],[805]
[943],[807]
[937],[809]
[932],[811]
[928],[814]
[923],[816]
[949],[800]
[964],[815]
[964],[820]
[968],[824]
[965],[831]
[968],[827]
[971],[832]
[971],[841]
[966],[839]
[965],[831]
[971],[819]
[971],[810]
[980],[799]
[967],[809]
[951],[798]
[951],[793]
[950],[788]
[949],[783]
[947],[778]
[944],[774]
[940],[771]
[937],[767]
[934],[763]
[930],[759]
[927],[756]
[923],[752]
[920],[749]
[916],[745]
[914],[740]
[911],[736]
[909],[731]
[907],[726]
[904],[722]
[902],[717]
[900],[712]
[896],[708]
[894],[704]
[894],[699]
[889],[701]
[891],[708]
[915],[732]
[956],[776]
[951],[782]
[937],[764]
[919],[744]
[903],[727]
[888],[708]
[865],[687]
[865],[681]
[874],[671]
[869],[675]
[865],[681]
[854],[684]
[821],[679]
[866],[692]
[860],[685]
[809],[673]
[800],[666]
[790],[676]
[801],[671]
[819],[679]
[798],[675]
[792],[681]
[783],[675]
[780],[671]
[777],[667]
[773],[663]
[770],[659]
[770],[654]
[775],[646]
[748],[617]
[720],[585]
[716],[589]
[750],[624]
[770],[648]
[767],[644]
[763],[641]
[760],[637]
[756],[634]
[753],[630]
[749],[626]
[746],[623]
[742],[619]
[739],[616]
[735],[612]
[732],[609]
[728],[605]
[725],[602]
[721],[598]
[717],[595]
[714],[591]
[710],[588]
[705],[586]
[700],[583]
[697],[580]
[695],[575]
[694],[570]
[692],[565]
[690],[560]
[657],[524]
[657],[519]
[653],[515]
[644],[501]
[640],[506]
[645],[511]
[697],[563]
[662],[522]
[659],[519]
[655],[515]
[652],[512]
[648],[508]
[645],[505]
[639],[505]
[633],[505]
[628],[503]
[625],[499]
[621],[496]
[618],[491]
[618],[486]
[620],[481]
[623],[478]
[626],[474]
[616],[481]
[616],[468]
[623],[472]
[618],[465]
[617],[457]
[618],[445]
[613],[440]
[615],[448]
[616],[455]
[614],[423]
[625],[413]
[631],[404]
[621],[412]
[611],[407]
[615],[417]
[613],[438]
[610],[431]
[609],[405]
[587],[380]
[579],[367]
[538],[326]
[529],[313]
[551],[331]
[565],[346]
[580],[362]
[598],[383]
[605],[386]
[609],[382]
[601],[392]
[527],[314]
[522],[314]
[517],[313]
[513],[310]
[510],[306]
[506],[303]
[502],[299]
[502],[293]
[508],[288]
[498],[294]
[483],[295]
[488],[292]
[480],[292]
[469],[290]
[464],[291]
[468],[287]
[459],[287]
[454],[287]
[449],[281]
[429],[278]
[425],[274]
[426],[281]
[451],[287]
[441],[283]
[427],[283]
[418],[288]
[395],[276]
[391],[268]
[399],[261]
[391],[264]
[378],[257]
[373],[269]
[379],[265]
[384],[270]
[379],[265]
[391],[273]
[377],[273]
[373],[269]
[345],[269]
[333],[258]
[329],[246]
[319],[255]
[321],[267]
[316],[271]
[324],[265]
[338],[267]
[329],[261]
[329],[255]
[326],[261]
[329],[255]
[331],[242]
[343],[233]
[337],[234]
[333],[238]
[330],[241]
[326],[245]
[323],[248]
[317],[250]
[312],[250]
[306],[248]
[300],[247]
[295],[246]
[290],[250]
[288],[270]
[282],[271]
[273],[279]
[268],[279]
[260],[284]
[256],[289]
[249],[293]
[244],[297]
[239],[296]
[237],[318]
[220],[318]
[210],[310]
[185],[332]
[162],[353]
[172],[360]
[201],[334]
[205],[331]
[208],[327]
[212],[324]
[215],[320]
[221],[320]
[227],[320]
[232],[319]
[236],[315]
[239],[312]
[239],[306]
[237],[302]
[234],[297]
[242],[305]
[251],[296]
[280],[278]
[297],[271]
[288],[261]
[234],[295]
[219],[291]
[213],[296]
[213],[316]
[203],[322]
[199],[331]
[201],[323]
[167],[352]
[171],[355]
[197],[332]
[144],[352]
[139],[349]
[141],[353]
[142],[358]
[143],[363]
[145],[368]
[148],[372]
[152],[375]
[157],[378]
[162],[378]
[154],[386]
[145],[432]
[143],[439]
[139],[448]
[152],[502]
[150],[496]
[149],[504]
[155],[508]
[151],[505]
[152],[532]
[135],[546]
[127],[559]
[133],[548]
[145],[551]
[155],[561]
[152],[577]
[144],[591]
[157],[603]
[151],[583]
[141],[585]
[141],[594]
[128],[612]
[135],[600]
[150],[600]
[164],[614]
[169],[642]
[166],[646]
[174],[654]
[179],[664]
[187],[663]
[177],[653]
[170],[636]
[160],[646]
[177],[666]
[175],[672]
[174],[677]
[176],[682]
[179],[686]
[183],[689]
[187],[692]
[191],[695]
[198],[689]
[205],[705]
[222],[729]
[241],[759]
[241],[766]
[248],[778]
[254],[777]
[259],[778]
[263],[781]
[266],[784]
[270],[788]
[273],[791]
[274],[796]
[277],[800]
[279],[805]
[282],[810]
[284],[815]
[310],[844]
[314],[848]
[318],[851]
[321],[855]
[325],[858]
